CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2023,December,CAMPARI AMERICA LLC,LIQUOR,35238,SKYY VODKA - 1.75L,64,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,42684,HEAVENSAKE JUNMAI GINJO URAKASUMI (BLUE) SAKE - 720ML,12,Purchase order
2023,December,BACARDI USA INC,LIQUOR,13587,BACARDI RUM - LIMON - 50ML,4,Purchase order
2023,December,MACK & SCHUHLE INC,WINE,14634,BOXSMITH CABERNET SAUVIGNON 3L,1,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,WINE,336427,SWEETLAND CELLARS JAZZ BERRY - 750ML,2,Purchase order
2023,December,DMV DISTRIBUTING LLC,WINE,240816,INFINITO WINEMAKER'S SEL CABERNET - 750ML,1,Purchase order
2023,December,E & J GALLO WINERY,LIQUOR,71796,HIGH NOON SUN SIPS BLK CHERRY - RTD - 355ML,68,Purchase order
2023,December,ROYAL WINE CORP,WINE,100080,KEDEM CREAM RED CONCORD - 750ML,1,Purchase order
2023,December,THE OTHER SIDE LLC,BEER,17632,DEWEY EL TRONO 4/6 CANS,3,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,NON-ALCOHOL,246025,LYRE'S SPARKLING CLASSICO NA - 750ML,1,Purchase order
2023,December,HEAVEN HILL DISTILLERIES INC,LIQUOR,29033,BLACK VELVET CANADIAN WHISKEY - 1.75L,135,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,240842,BUZZBALLZ CHILLERS CHOCO CHILLER 24/CS - 187ML,72,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,LIQUOR,297711,WHISTLEPIG PIGGYBACK BOURBON 6YR 750ML,98,Purchase order
2023,December,BOGLE VINEYARDS INC,WINE,350024,JUGGERNAUT CABERNET SAUVIGNON - 750ML,70,Purchase order
2023,December,E & J GALLO WINERY,LIQUOR,70126,DON FULANO TEQUILA BLANCO -750ML,5,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,BEER,97470,SAPPORO 12/22OZ CAN - 22OZ,360,Purchase order
2023,December,MOET HENNESSY USA,WINE,145837,CH D'ESCLANS WHISPERING ANGEL - 375ML,2,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,WINE,237024,MONTINORE EST OREGON P/NOIR - 750ML,3,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,406511,EMILIO MORO MORO TINTO - 750ML,1,Purchase order
2023,December,BANFI PRODUCTS CORP,WINE,71544,BANFI RISERVA CHIANTI CLASSICO - 750ML,14,Purchase order
2023,December,OPICI FAMILY DISTRIBUTING OF MD,WINE,322532,SOLEIL MIMOSA CLASSIC - 750ML,1,Purchase order
2023,December,ELITE WINES IMPORTS,WINE,308684,LAUVERJAT VRILLERES SANCERRE - 750ML,28,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,322622,LINCOURT STEEL CHARD - 750ML,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,307135,BORSAO BLANCO - 750ML,1,Purchase order
2023,December,DIAGEO NORTH AMERICA INC,BEER,4537,SMITHWICKS 4/6 NR - 12OZ,84,Purchase order
2023,December,LUXCO SPIRITED BRANDS,LIQUOR,74678,REBEL YELL KSBW BOURBON 100P - 750ML,1,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,378734,RUFFINO RES DUCALE ORO - 750ML,1,Purchase order
2023,December,ANHEUSER BUSCH INC,BEER,25523,BUD LIGHT PLATINUM 2/12 NR - 12OZ,112,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,244657,ARROW CACAO WHITE 1L,5,Purchase order
2023,December,FREDERICK WILDMAN & SONS,WINE,333110,BOLLA CAB - 750ML,1,Purchase order
2023,December,ELITE WINES IMPORTS,WINE,337990,CH DU BEAU VALLON - 750ML,1,Purchase order
2023,December,PARK STREET IMPORTS LLC,LIQUOR,76764,COSTA TEQUILA - REPOSADO - 750ML,1,Purchase order
2023,December,BOSTON BEER CORPORATION,KEG,99449,SAM ADAMS WINTERLAGER 1/6K,12,Purchase order
2023,December,PUNTO VINO LLC,WINE,300070,TEN SISTERS S/BLC - 750ML,3,Purchase order
2023,December,GRAPES OF SPAIN INC,WINE,333170,ROQUE COLAS - 750ML,2,Purchase order
2023,December,PRESTIGE BEVERAGE GROUP OF MD LLC,LIQUOR,338984,ROCK TOWN SMALL CRAFT VODKA - 1L,5,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,309049,JANSZ BRUT RSE CUV - 750ML,7,Purchase order
2023,December,AMAVI VINUM,WINE,244229,DFR TAMAIOASA ROMANEASCA WHITE - 750ML,1,Purchase order
2023,December,DON SEBASTIANI & SONS,WINE,14249,SMOKING LOON P/NOIR - 750ML,2,Purchase order
2023,December,RED INK IMPORTS LLC,WINE,319895,S ALESSANDRA P/GRIG - 750ML,1,Purchase order
2023,December,BROWN-FORMAN BEVERAGES WORLDWIDE,LIQUOR,75470,WOODFORD RESERVE KY STRAIT - 1.75L,56,Purchase order
